===================================================
  POKÉMON CARD LIST
  Sets: Ascended Heroes | 151 | Prismatic Evolutions
===================================================

Format: Name | Set | Energy Type | Rarity

---------------------------------------------------
 ASCENDED HEROES (Released: January 30, 2026)
---------------------------------------------------
Arcanine ex              | Ascended Heroes | Fire        | Double Rare
Charizard ex             | Ascended Heroes | Fire        | Double Rare
Mega Blaziken ex         | Ascended Heroes | Fire        | Ultra Rare
Mega Charizard X ex      | Ascended Heroes | Fire        | Mega Attack Rare
Mega Charizard Y ex      | Ascended Heroes | Fire        | Mega Hyper Rare
Mega Infernape ex        | Ascended Heroes | Fire        | Ultra Rare
Numel                    | Ascended Heroes | Fire        | Common
Slugma                   | Ascended Heroes | Fire        | Common
Beautifly                | Ascended Heroes | Grass       | Uncommon
Dustox                   | Ascended Heroes | Grass       | Uncommon
Erika's Tangela          | Ascended Heroes | Grass       | Rare
Mega Emboar ex           | Ascended Heroes | Grass       | Ultra Rare
Mega Sceptile ex         | Ascended Heroes | Grass       | Ultra Rare
Bulbasaur                | Ascended Heroes | Grass       | Common
Ivysaur                  | Ascended Heroes | Grass       | Uncommon
Charjabug                | Ascended Heroes | Lightning   | Common
Hop's Pincurchin ex      | Ascended Heroes | Lightning   | Double Rare
Iono's Bellibolt ex      | Ascended Heroes | Lightning   | Ultra Rare
Iono's Tadbulb           | Ascended Heroes | Lightning   | Uncommon
Iono's Wattrel           | Ascended Heroes | Lightning   | Common
Iono's Kilowattrel       | Ascended Heroes | Lightning   | Uncommon
Mega Eelektross ex       | Ascended Heroes | Lightning   | Ultra Rare
Miraidon ex              | Ascended Heroes | Lightning   | Double Rare
Pikachu ex               | Ascended Heroes | Lightning   | Special Illustration Rare
Stunfisk                 | Ascended Heroes | Lightning   | Common
Tapu Koko                | Ascended Heroes | Lightning   | Rare
Tynamo                   | Ascended Heroes | Lightning   | Common
Vikavolt                 | Ascended Heroes | Lightning   | Uncommon
Voltorb ex               | Ascended Heroes | Lightning   | Double Rare
Clefable                 | Ascended Heroes | Psychic     | Uncommon
Clefairy                 | Ascended Heroes | Psychic     | Common
Fezandipiti ex           | Ascended Heroes | Psychic     | Ultra Rare
Lillie's Clefairy ex     | Ascended Heroes | Psychic     | Special Illustration Rare
Team Rocket's Exeggcute  | Ascended Heroes | Psychic     | Common
Team Rocket's Exeggutor  | Ascended Heroes | Psychic     | Uncommon
Team Rocket's Mewtwo ex  | Ascended Heroes | Psychic     | Special Illustration Rare
Togepi                   | Ascended Heroes | Psychic     | Common
Togekiss                 | Ascended Heroes | Psychic     | Rare
Togetic                  | Ascended Heroes | Psychic     | Uncommon
Marill                   | Ascended Heroes | Water       | Common
Mega Feraligatr ex       | Ascended Heroes | Water       | Ultra Rare
Mega Gyarados ex         | Ascended Heroes | Water       | Ultra Rare
Mega Swampert ex         | Ascended Heroes | Water       | Ultra Rare
Ethan's Magcargo         | Ascended Heroes | Fire        | Rare
Mega Diancie ex          | Ascended Heroes | Fighting    | Mega Attack Rare
Mega Hawlucha ex         | Ascended Heroes | Fighting    | Mega Attack Rare
Mega Gengar ex           | Ascended Heroes | Darkness    | Special Illustration Rare
